feature,coef,HR,HR_CI_lower,HR_CI_upper,p_bootstrap
horTh=yes,-0.16616956756835957,0.8469026147961198,0.7457331844585328,0.9443194450223182,0.005
tgrade=II,0.3040391269448432,1.3553220846646934,1.107714241062231,1.661928280539978,0.005
progrec,-0.44862243252122097,0.6385071327158833,0.4935889645778869,0.7884401845245187,0.005
pnodes,0.26710268035002094,1.306174557906019,1.2063635147485592,1.5629597192762117,0.005
tgrade=III,0.330469819440328,1.391621785869864,1.1419322496416193,1.7748322367846419,0.005
tsize,0.1114849379790024,1.1179369054895756,0.9958760988845629,1.2413979712183916,0.08
menostat=Post,0.12760947197334815,1.1361092335535157,0.9379973372640299,1.3691452994240076,0.13
age,-0.09566160452506868,0.9087714882015369,0.7510444669932895,1.111526131980073,0.34
estrec,0.030269348788048305,1.0307321230158366,0.8764247676330696,1.149255773201527,0.67
